"state","county","precinct","office","candidate","party","votes"
"Alabama","DeKalb","MACEDONIA BAPTIST","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",115
"Alabama","DeKalb","MACEDONIA BAPTIST","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","GOVERNOR","Walt Maddox","Democratic",16
"Alabama","DeKalb","MACEDONIA BAPTIST","GOVERNOR","Kay Ivey","Republican",111
"Alabama","DeKalb","MACEDONIA BAPTIST","GOVERNOR","Write-In","No party",1
"Alabama","DeKalb","MACEDONIA BAPTIST","LIEUTENANT GOVERNOR","Will Boyd","Democratic",16
"Alabama","DeKalb","MACEDONIA BAPTIST","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",112
"Alabama","DeKalb","MACEDONIA BAPTIST","LIEUTENANT GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","ATTORNEY GENERAL","Joseph Siegelman","Democratic",17
"Alabama","DeKalb","MACEDONIA BAPTIST","ATTORNEY GENERAL","Steve Marshall","Republican",111
"Alabama","DeKalb","MACEDONIA BAPTIST","ATTORNEY GENERAL","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",22
"Alabama","DeKalb","MACEDONIA BAPTIST","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",105
"Alabama","DeKalb","MACEDONIA BAPTIST","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",101
"Alabama","DeKalb","MACEDONIA BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",100
"Alabama","DeKalb","MACEDONIA BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Will Sellers","Republican",100
"Alabama","DeKalb","MACEDONIA BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Donna Wesson Smalley","Democratic",21
"Alabama","DeKalb","MACEDONIA BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Jay Mitchell","Republican",101
"Alabama","DeKalb","MACEDONIA BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE TREASURER","John McMillan","Republican",102
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE TREASURER","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Rick Pate","Republican",101
"Alabama","DeKalb","MACEDONIA BAPTIST","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","SECRETARY OF STATE","Heather Milam","Democratic",20
"Alabama","DeKalb","MACEDONIA BAPTIST","SECRETARY OF STATE","John H. Merrill","Republican",105
"Alabama","DeKalb","MACEDONIA BAPTIST","SECRETARY OF STATE","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE AUDITOR","Miranda Karrine Joseph","Democratic",25
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE AUDITOR","Jim Zeigler","Republican",102
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE AUDITOR","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Christy Olinger Edwards","Republican",102
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Chad Hanson","Republican",101
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Terry A. Moore","Republican",102
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Richard Minor","Republican",102
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Chris McCool","Republican",102
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Bill Cole","Republican",102
"Alabama","DeKalb","MACEDONIA BAPTIST","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","PUBLIC SERVICE COMMISSION, PLACE 1","Cara Y. McClure","Democratic",19
"Alabama","DeKalb","MACEDONIA BAPTIST","PUBLIC SERVICE COMMISSION, PLACE 1","Jeremy H. Oden","Republican",105
"Alabama","DeKalb","MACEDONIA BAPTIST","PUBLIC SERVICE COMMISSION, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","PUBLIC SERVICE COMMISSION, PLACE 2","Kari Powell","Democratic",19
"Alabama","DeKalb","MACEDONIA BAPTIST","PUBLIC SERVICE COMMISSION, PLACE 2","Chris ""Chip"" Beeker Jr.","Republican",103
"Alabama","DeKalb","MACEDONIA BAPTIST","PUBLIC SERVICE COMMISSION, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Jessica Fortune Barker","Democratic",21
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Wayne Reynolds","Republican",102
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Write-In","No party",1
"Alabama","DeKalb","MACEDONIA BAPTIST","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Shaunathan Bell","Republican",103
"Alabama","DeKalb","MACEDONIA BAPTIST","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Andrew Hairston","Republican",103
"Alabama","DeKalb","MACEDONIA BAPTIST","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE SENATOR, DISTRICT 9","Clay Scofield","Republican",106
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE SENATOR, DISTRICT 9","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE REPRESENTATIVE, DISTRICT 26","Kerry Rich","Republican",78
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE REPRESENTATIVE, DISTRICT 26","Write-In","No party",1
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE REPRESENTATIVE, DISTRICT 29","Jared Millican","Democratic",5
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE REPRESENTATIVE, DISTRICT 29","Becky Nordgren","Republican",28
"Alabama","DeKalb","MACEDONIA BAPTIST","STATE REPRESENTATIVE, DISTRICT 29","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","Yes - Statewide Amendment No. 1","No party",111
"Alabama","DeKalb","MACEDONIA BAPTIST","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","No - Statewide Amendment No. 1","No party",8
"Alabama","DeKalb","MACEDONIA BAPTIST","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","Yes - Statewide Amendment No. 2","No party",99
"Alabama","DeKalb","MACEDONIA BAPTIST","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","No - Statewide Amendment No. 2","No party",21
"Alabama","DeKalb","MACEDONIA BAPTIST","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","Yes - Statewide Amendment No. 3","No party",71
"Alabama","DeKalb","MACEDONIA BAPTIST","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","No - Statewide Amendment No. 3","No party",24
"Alabama","DeKalb","MACEDONIA BAPTIST","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","Yes -Statewide Amendment No. 4","No party",83
"Alabama","DeKalb","MACEDONIA BAPTIST","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","No - Statewide Amendment No. 4","No party",26
"Alabama","DeKalb","MACEDONIA BAPTIST","CIRCUIT CLERK, DeKALB COUNTY","Pam Bailey Simpson","Democratic",36
"Alabama","DeKalb","MACEDONIA BAPTIST","CIRCUIT CLERK, DeKALB COUNTY","Todd Greeson","Republican",91
"Alabama","DeKalb","MACEDONIA BAPTIST","CIRCUIT CLERK, DeKALB COUNTY","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","DeKALB COUNTY JUDGE OF PROBATE","Ronnie Osborn","Republican",104
"Alabama","DeKalb","MACEDONIA BAPTIST","DeKALB COUNTY JUDGE OF PROBATE","Write-In","No party",1
"Alabama","DeKalb","MACEDONIA BAPTIST","PRESIDENT, DeKALB COUNTY COMMISSION","Ben Johnston","Democratic",28
"Alabama","DeKalb","MACEDONIA BAPTIST","PRESIDENT, DeKALB COUNTY COMMISSION","Ricky Harcrow","Republican",99
"Alabama","DeKalb","MACEDONIA BAPTIST","PRESIDENT, DeKALB COUNTY COMMISSION","Write-In","No party",0
"Alabama","DeKalb","MACEDONIA BAPTIST","DeKALB COUNTY SHERIFF","John Baker","Democratic",35
"Alabama","DeKalb","MACEDONIA BAPTIST","DeKALB COUNTY SHERIFF","Nick Welden","Republican",89
"Alabama","DeKalb","MACEDONIA BAPTIST","DeKALB COUNTY SHERIFF","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","STRAIGHT PARTY","Alabama Democratic Party","Democratic",44
"Alabama","DeKalb","MCKESTES COMM CTR","STRAIGHT PARTY","Alabama Republican Party","Republican",167
"Alabama","DeKalb","MCKESTES COMM CTR","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",77
"Alabama","DeKalb","MCKESTES COMM CTR","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",296
"Alabama","DeKalb","MCKESTES COMM CTR","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","GOVERNOR","Walt Maddox","Democratic",89
"Alabama","DeKalb","MCKESTES COMM CTR","GOVERNOR","Kay Ivey","Republican",285
"Alabama","DeKalb","MCKESTES COMM CTR","GOVERNOR","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","LIEUTENANT GOVERNOR","Will Boyd","Democratic",83
"Alabama","DeKalb","MCKESTES COMM CTR","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",290
"Alabama","DeKalb","MCKESTES COMM CTR","LIEUTENANT GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","ATTORNEY GENERAL","Joseph Siegelman","Democratic",87
"Alabama","DeKalb","MCKESTES COMM CTR","ATTORNEY GENERAL","Steve Marshall","Republican",287
"Alabama","DeKalb","MCKESTES COMM CTR","ATTORNEY GENERAL","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",95
"Alabama","DeKalb","MCKESTES COMM CTR","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",276
"Alabama","DeKalb","MCKESTES COMM CTR","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",291
"Alabama","DeKalb","MCKESTES COMM CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",290
"Alabama","DeKalb","MCKESTES COMM CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Will Sellers","Republican",290
"Alabama","DeKalb","MCKESTES COMM CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Donna Wesson Smalley","Democratic",82
"Alabama","DeKalb","MCKESTES COMM CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Jay Mitchell","Republican",280
"Alabama","DeKalb","MCKESTES COMM CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","STATE TREASURER","John McMillan","Republican",285
"Alabama","DeKalb","MCKESTES COMM CTR","STATE TREASURER","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Rick Pate","Republican",293
"Alabama","DeKalb","MCKESTES COMM CTR","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","SECRETARY OF STATE","Heather Milam","Democratic",87
"Alabama","DeKalb","MCKESTES COMM CTR","SECRETARY OF STATE","John H. Merrill","Republican",280
"Alabama","DeKalb","MCKESTES COMM CTR","SECRETARY OF STATE","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","STATE AUDITOR","Miranda Karrine Joseph","Democratic",86
"Alabama","DeKalb","MCKESTES COMM CTR","STATE AUDITOR","Jim Zeigler","Republican",280
"Alabama","DeKalb","MCKESTES COMM CTR","STATE AUDITOR","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Christy Olinger Edwards","Republican",288
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Chad Hanson","Republican",287
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Terry A. Moore","Republican",287
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Richard Minor","Republican",286
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Chris McCool","Republican",287
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Bill Cole","Republican",287
"Alabama","DeKalb","MCKESTES COMM CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","PUBLIC SERVICE COMMISSION, PLACE 1","Cara Y. McClure","Democratic",86
"Alabama","DeKalb","MCKESTES COMM CTR","PUBLIC SERVICE COMMISSION, PLACE 1","Jeremy H. Oden","Republican",278
"Alabama","DeKalb","MCKESTES COMM CTR","PUBLIC SERVICE COMMISSION, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","PUBLIC SERVICE COMMISSION, PLACE 2","Kari Powell","Democratic",91
"Alabama","DeKalb","MCKESTES COMM CTR","PUBLIC SERVICE COMMISSION, PLACE 2","Chris ""Chip"" Beeker Jr.","Republican",272
"Alabama","DeKalb","MCKESTES COMM CTR","PUBLIC SERVICE COMMISSION, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Jessica Fortune Barker","Democratic",92
"Alabama","DeKalb","MCKESTES COMM CTR","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Wayne Reynolds","Republican",270
"Alabama","DeKalb","MCKESTES COMM CTR","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Shaunathan Bell","Republican",289
"Alabama","DeKalb","MCKESTES COMM CTR","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Write-In","No party",3
"Alabama","DeKalb","MCKESTES COMM CTR","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Andrew Hairston","Republican",295
"Alabama","DeKalb","MCKESTES COMM CTR","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Write-In","No party",3
"Alabama","DeKalb","MCKESTES COMM CTR","STATE SENATOR, DISTRICT 8","Steve Livingston","Republican",61
"Alabama","DeKalb","MCKESTES COMM CTR","STATE SENATOR, DISTRICT 8","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","STATE SENATOR, DISTRICT 9","Clay Scofield","Republican",234
"Alabama","DeKalb","MCKESTES COMM CTR","STATE SENATOR, DISTRICT 9","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","STATE REPRESENTATIVE, DISTRICT 24","Nathaniel Ledbetter","Republican",219
"Alabama","DeKalb","MCKESTES COMM CTR","STATE REPRESENTATIVE, DISTRICT 24","Write-In","No party",3
"Alabama","DeKalb","MCKESTES COMM CTR","STATE REPRESENTATIVE, DISTRICT 26","Kerry Rich","Republican",72
"Alabama","DeKalb","MCKESTES COMM CTR","STATE REPRESENTATIVE, DISTRICT 26","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","Yes - Statewide Amendment No. 1","No party",299
"Alabama","DeKalb","MCKESTES COMM CTR","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","No - Statewide Amendment No. 1","No party",59
"Alabama","DeKalb","MCKESTES COMM CTR","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","Yes - Statewide Amendment No. 2","No party",256
"Alabama","DeKalb","MCKESTES COMM CTR","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","No - Statewide Amendment No. 2","No party",105
"Alabama","DeKalb","MCKESTES COMM CTR","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","Yes - Statewide Amendment No. 3","No party",204
"Alabama","DeKalb","MCKESTES COMM CTR","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","No - Statewide Amendment No. 3","No party",102
"Alabama","DeKalb","MCKESTES COMM CTR","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","Yes -Statewide Amendment No. 4","No party",268
"Alabama","DeKalb","MCKESTES COMM CTR","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","No - Statewide Amendment No. 4","No party",72
"Alabama","DeKalb","MCKESTES COMM CTR","CIRCUIT CLERK, DeKALB COUNTY","Pam Bailey Simpson","Democratic",156
"Alabama","DeKalb","MCKESTES COMM CTR","CIRCUIT CLERK, DeKALB COUNTY","Todd Greeson","Republican",218
"Alabama","DeKalb","MCKESTES COMM CTR","CIRCUIT CLERK, DeKALB COUNTY","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","DeKALB COUNTY JUDGE OF PROBATE","Ronnie Osborn","Republican",297
"Alabama","DeKalb","MCKESTES COMM CTR","DeKALB COUNTY JUDGE OF PROBATE","Write-In","No party",2
"Alabama","DeKalb","MCKESTES COMM CTR","PRESIDENT, DeKALB COUNTY COMMISSION","Ben Johnston","Democratic",96
"Alabama","DeKalb","MCKESTES COMM CTR","PRESIDENT, DeKALB COUNTY COMMISSION","Ricky Harcrow","Republican",275
"Alabama","DeKalb","MCKESTES COMM CTR","PRESIDENT, DeKALB COUNTY COMMISSION","Write-In","No party",1
"Alabama","DeKalb","MCKESTES COMM CTR","DeKALB COUNTY SHERIFF","John Baker","Democratic",95
"Alabama","DeKalb","MCKESTES COMM CTR","DeKALB COUNTY SHERIFF","Nick Welden","Republican",276
"Alabama","DeKalb","MCKESTES COMM CTR","DeKALB COUNTY SHERIFF","Write-In","No party",0
"Alabama","DeKalb","MCKESTES COMM CTR","MEMBER, DeKALB COUNTY BOARD OF EDUCATION, DISTRICT NO. 3","Carol Hiett","Republican",18
"Alabama","DeKalb","MCKESTES COMM CTR","MEMBER, DeKALB COUNTY BOARD OF EDUCATION, DISTRICT NO. 3","Write-In","No party",0
"Alabama","DeKalb","MENTONE TOWN HALL","STRAIGHT PARTY","Alabama Democratic Party","Democratic",102
"Alabama","DeKalb","MENTONE TOWN HALL","STRAIGHT PARTY","Alabama Republican Party","Republican",376
"Alabama","DeKalb","MENTONE TOWN HALL","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",206
"Alabama","DeKalb","MENTONE TOWN HALL","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",571
"Alabama","DeKalb","MENTONE TOWN HALL","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",1
"Alabama","DeKalb","MENTONE TOWN HALL","GOVERNOR","Walt Maddox","Democratic",212
"Alabama","DeKalb","MENTONE TOWN HALL","GOVERNOR","Kay Ivey","Republican",580
"Alabama","DeKalb","MENTONE TOWN HALL","GOVERNOR","Write-In","No party",1
"Alabama","DeKalb","MENTONE TOWN HALL","LIEUTENANT GOVERNOR","Will Boyd","Democratic",192
"Alabama","DeKalb","MENTONE TOWN HALL","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",587
"Alabama","DeKalb","MENTONE TOWN HALL","LIEUTENANT GOVERNOR","Write-In","No party",1
"Alabama","DeKalb","MENTONE TOWN HALL","ATTORNEY GENERAL","Joseph Siegelman","Democratic",224
"Alabama","DeKalb","MENTONE TOWN HALL","ATTORNEY GENERAL","Steve Marshall","Republican",555
"Alabama","DeKalb","MENTONE TOWN HALL","ATTORNEY GENERAL","Write-In","No party",0
"Alabama","DeKalb","MENTONE TOWN HALL","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",220
"Alabama","DeKalb","MENTONE TOWN HALL","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",548
"Alabama","DeKalb","MENTONE TOWN HALL","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",0
"Alabama","DeKalb","MENTONE TOWN HALL","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",590
"Alabama","DeKalb","MENTONE TOWN HALL","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",5
"Alabama","DeKalb","MENTONE TOWN HALL","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",585
"Alabama","DeKalb","MENTONE TOWN HALL","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Write-In","No party",6
"Alabama","DeKalb","MENTONE TOWN HALL","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Will Sellers","Republican",581
"Alabama","DeKalb","MENTONE TOWN HALL","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Write-In","No party",7
"Alabama","DeKalb","MENTONE TOWN HALL","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Donna Wesson Smalley","Democratic",202
"Alabama","DeKalb","MENTONE TOWN HALL","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Jay Mitchell","Republican",560
"Alabama","DeKalb","MENTONE TOWN HALL","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Write-In","No party",0
"Alabama","DeKalb","MENTONE TOWN HALL","STATE TREASURER","John McMillan","Republican",581
"Alabama","DeKalb","MENTONE TOWN HALL","STATE TREASURER","Write-In","No party",5
"Alabama","DeKalb","MENTONE TOWN HALL","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Rick Pate","Republican",585
"Alabama","DeKalb","MENTONE TOWN HALL","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Write-In","No party",5
"Alabama","DeKalb","MENTONE TOWN HALL","SECRETARY OF STATE","Heather Milam","Democratic",194
"Alabama","DeKalb","MENTONE TOWN HALL","SECRETARY OF STATE","John H. Merrill","Republican",577
"Alabama","DeKalb","MENTONE TOWN HALL","SECRETARY OF STATE","Write-In","No party",0
"Alabama","DeKalb","MENTONE TOWN HALL","STATE AUDITOR","Miranda Karrine Joseph","Democratic",201
"Alabama","DeKalb","MENTONE TOWN HALL","STATE AUDITOR","Jim Zeigler","Republican",568
"Alabama","DeKalb","MENTONE TOWN HALL","STATE AUDITOR","Write-In","No party",0
"Alabama","DeKalb","MENTONE TOWN HALL","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Christy Olinger Edwards","Republican",584
"Alabama","DeKalb","MENTONE TOWN HALL","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Write-In","No party",5
"Alabama","DeKalb","MENTONE TOWN HALL","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Chad Hanson","Republican",580
"Alabama","DeKalb","MENTONE TOWN HALL","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Write-In","No party",5
"Alabama","DeKalb","MENTONE TOWN HALL","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Terry A. Moore","Republican",583
"Alabama","DeKalb","MENTONE TOWN HALL","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Write-In","No party",5
"Alabama","DeKalb","MENTONE TOWN HALL","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Richard Minor","Republican",585
"Alabama","DeKalb","MENTONE TOWN HALL","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Write-In","No party",5
